target_ratio,actual_coverage_mean,actual_coverage_std,actual_coverage_min,actual_coverage_max,method,masked_l1,masked_psnr,full_psnr
0.1,0.0999755859375,0.0,0.0999755859375,0.0999755859375,ZeroFill,0.4960285255064567,11.483661624590555,21.484722124735516
0.1,0.0999755859375,0.0,0.0999755859375,0.0999755859375,MeanFill,0.34041211048141123,14.682208593686422,24.683269074757895
0.1,0.0999755859375,0.0,0.0999755859375,0.0999755859375,ShallowCNN,0.27009681495527427,14.934270734786987,24.935331115722658
0.1,0.0999755859375,0.0,0.0999755859375,0.0999755859375,UNet,0.13906255071051418,21.009931494394937,31.010991846720376
0.2,0.20001220703125,0.0,0.20001220703125,0.20001220703125,ZeroFill,0.4981449290364981,11.387691458066305,18.377126477559408
0.2,0.20001220703125,0.0,0.20001220703125,0.20001220703125,MeanFill,0.33576400748764473,14.652493042945862,21.641928017934163
0.2,0.20001220703125,0.0,0.20001220703125,0.20001220703125,ShallowCNN,0.281438297405839,14.587099885940551,21.576534884770712
0.2,0.20001220703125,0.0,0.20001220703125,0.20001220703125,UNet,0.13751837723888458,20.79633409500122,27.78576914469401
0.3,0.29998779296875,0.0,0.29998779296875,0.29998779296875,ZeroFill,0.4938274160275857,11.393302872975667,16.622267150878905
0.3,0.29998779296875,0.0,0.29998779296875,0.29998779296875,MeanFill,0.34382589004933833,14.30949027379354,19.538454405466716
0.3,0.29998779296875,0.0,0.29998779296875,0.29998779296875,ShallowCNN,0.29159421170751254,14.260243180592855,19.489207423528036
0.3,0.29998779296875,0.0,0.29998779296875,0.29998779296875,UNet,0.1428906100646903,20.0347331905365,25.263697299957276
0.4,0.4000244140625,0.0,0.4000244140625,0.4000244140625,ZeroFill,0.4992130433768034,11.304320797920226,15.283455855051676
0.4,0.4000244140625,0.0,0.4000244140625,0.4000244140625,MeanFill,0.3435015896459421,14.297180110613505,18.276315088272096
0.4,0.4000244140625,0.0,0.4000244140625,0.4000244140625,ShallowCNN,0.30265221898754435,14.004558067321778,17.983692909876506
0.4,0.4000244140625,0.0,0.4000244140625,0.4000244140625,UNet,0.1455315581181397,19.774096024831135,23.753230759302774
0.5,0.5,0.0,0.5,0.5,ZeroFill,0.4956535438448191,11.3482546377182,14.358554592132569
0.5,0.5,0.0,0.5,0.5,MeanFill,0.34501697232325873,14.255765957832336,17.266065788269042
0.5,0.5,0.0,0.5,0.5,ShallowCNN,0.31276136241853236,13.861394599278768,16.87169457435608
0.5,0.5,0.0,0.5,0.5,UNet,0.1504155269699792,19.456996704737346,22.46729655265808
