model,attack,density,comparison,metric,n_images,mean_a,mean_b,mean_difference,ci_95_low,ci_95_high,ci_excludes_zero,bootstrap_samples,bootstrap_seed
3k_baseline,diffusion,0.3,O150 -> O300,psnr_attack,300,34.15626490910848,32.87711495081584,-1.2791499582926433,-1.4749838690757753,-1.0942435111999513,True,10000,42
3k_baseline,diffusion,0.3,O150 -> O300,ssim_attack,300,0.9166971814632415,0.9082275482018789,-0.008469633261362712,-0.009906206369400023,-0.007125900824864705,True,10000,42
3k_baseline,diffusion,0.3,O150 -> O300,psnr_final,300,32.38192260742188,31.41616495132446,-0.9657576560974122,-1.1183154395421346,-0.8246445123354594,True,10000,42
3k_baseline,diffusion,0.3,O150 -> O300,ssim_final,300,0.9148896143833796,0.9061021806796392,-0.008787433703740438,-0.010224310437838236,-0.0074320082465807605,True,10000,42
3k_baseline,mean,0.1,Random -> O150,ber,300,0.5001111111111111,0.49522222222222223,-0.004888888888888889,-0.0131111111111111,0.003444444444444442,False,10000,42
3k_baseline,mean,0.1,Random -> O150,psnr_attack,300,14.640123856862386,14.341539758046467,-0.29858409881591796,-0.3759513154029846,-0.22347310400009157,True,10000,42
3k_baseline,mean,0.1,Random -> O150,ssim_attack,300,0.27887510577837626,0.43133377398053807,0.15245866820216178,0.14334273904065292,0.1610203949039181,True,10000,42
3k_baseline,mean,0.1,Random -> O150,psnr_final,300,14.608897953033447,14.29982426961263,-0.30907368342081704,-0.3893828881581624,-0.23163238199551903,True,10000,42
3k_baseline,mean,0.1,Random -> O150,ssim_final,300,0.27900505863130093,0.4381636659304301,0.15915860729912917,0.1500054632499814,0.1677747241202742,True,10000,42
3k_baseline,mean,0.1,Random -> O300,ber,300,0.5001111111111111,0.4975555555555556,-0.002555555555555556,-0.010669444444444452,0.005666666666666666,False,10000,42
3k_baseline,mean,0.1,Random -> O300,psnr_attack,300,14.640123856862386,14.293955704371134,-0.3461681524912516,-0.431468608379364,-0.2640769076347351,True,10000,42
3k_baseline,mean,0.1,Random -> O300,ssim_attack,300,0.27887510577837626,0.43879178861776985,0.15991668283939361,0.15079063442163168,0.16863514035878083,True,10000,42
3k_baseline,mean,0.1,Random -> O300,psnr_final,300,14.608897953033447,14.252025054295858,-0.35687289873758954,-0.44482811363538105,-0.27283965492248535,True,10000,42
3k_baseline,mean,0.1,Random -> O300,ssim_final,300,0.27900505863130093,0.44531041373809177,0.16630535510679087,0.15714513473771513,0.17503908174298705,True,10000,42
3k_baseline,mean,0.1,O150 -> O300,ber,300,0.49522222222222223,0.4975555555555556,0.0023333333333333327,-0.0026666666666666674,0.007444444444444443,False,10000,42
