target_ratio,actual_coverage_mean,actual_coverage_std,actual_coverage_min,actual_coverage_max,method,masked_l1,masked_psnr,full_psnr
0.025,0.06416035970052084,0.022400800001756184,0.0252685546875,0.11474609375,ZeroFill,0.4875825310250123,11.841561970710755,24.064472579956053
0.025,0.06416035970052084,0.022400800001756184,0.0252685546875,0.11474609375,MeanFill,0.32582524308934807,15.51250692208608,27.735417505900067
0.025,0.06416035970052084,0.022400800001756184,0.0252685546875,0.11474609375,PretrainedCNN,0.2865345990161101,14.852213206291198,27.075123882293703
0.05,0.07932596842447917,0.01769793042538261,0.050048828125,0.1282958984375,ZeroFill,0.4986523142953714,11.56647188981374,22.6802436319987
0.05,0.07932596842447917,0.01769793042538261,0.050048828125,0.1282958984375,MeanFill,0.3485194736222426,14.862078536351522,25.975850454966228
0.05,0.07932596842447917,0.01769793042538261,0.050048828125,0.1282958984375,PretrainedCNN,0.30358194835484026,14.284099582036337,25.39787130355835
0.075,0.1021923828125,0.02254982519994823,0.07537841796875,0.16253662109375,ZeroFill,0.4974852962295214,11.573544076283772,21.57688529332479
0.075,0.1021923828125,0.02254982519994823,0.07537841796875,0.16253662109375,MeanFill,0.33527237304175894,15.051119407018026,25.054460563659667
0.075,0.1021923828125,0.02254982519994823,0.07537841796875,0.16253662109375,PretrainedCNN,0.3082672818005085,14.191940240859985,24.195281403859457
0.1,0.13287211100260415,0.02282411465717307,0.10003662109375,0.193359375,ZeroFill,0.500714910030365,11.419279324213663,20.24693775177002
0.1,0.13287211100260415,0.02282411465717307,0.10003662109375,0.193359375,MeanFill,0.3427341722634931,14.69977108001709,23.527429313659667
0.1,0.13287211100260415,0.02282411465717307,0.10003662109375,0.193359375,PretrainedCNN,0.3110248060276111,14.074724980990093,22.9023832766215
0.2,0.22804768880208334,0.020377992742081606,0.2000732421875,0.28790283203125,ZeroFill,0.4971859509994586,11.431433024406433,17.867897548675536
0.2,0.22804768880208334,0.020377992742081606,0.2000732421875,0.28790283203125,MeanFill,0.3431612265792986,14.569462451934815,21.0059268506368
0.2,0.22804768880208334,0.020377992742081606,0.2000732421875,0.28790283203125,PretrainedCNN,0.3188982197145621,13.867649529774983,20.30411387125651
0.3,0.32126505533854166,0.018437536930147817,0.30023193359375,0.3787841796875,ZeroFill,0.4991649579753478,11.34581118742625,16.284057839711508
0.3,0.32126505533854166,0.018437536930147817,0.30023193359375,0.3787841796875,MeanFill,0.34379069502154985,14.457909127871195,19.396155700683593
0.3,0.32126505533854166,0.018437536930147817,0.30023193359375,0.3787841796875,PretrainedCNN,0.3316944048802058,13.591253131230673,18.52949973424276
0.4,0.41845865885416667,0.01567175853952629,0.4000244140625,0.48321533203125,ZeroFill,0.4935046329597632,11.417332588831584,15.203755305608114
0.4,0.41845865885416667,0.01567175853952629,0.4000244140625,0.48321533203125,MeanFill,0.3442504182768365,14.361623638470968,18.14804652849833
0.4,0.41845865885416667,0.01567175853952629,0.4000244140625,0.48321533203125,PretrainedCNN,0.3428682353099187,13.434849446614583,17.22127231280009
0.5,0.51568359375,0.01431545446960898,0.5,0.58905029296875,ZeroFill,0.49921366485456625,11.323350054423015,14.20114340464274
0.5,0.51568359375,0.01431545446960898,0.5,0.58905029296875,MeanFill,0.35091746885329483,14.170458159446717,17.048251492182413
0.5,0.51568359375,0.01431545446960898,0.5,0.58905029296875,PretrainedCNN,0.3610471899807453,13.123230136235556,16.001023508707682
