model,mask_type,density,attack,PSNR_final,SSIM_final,PSNR_attack,SSIM_attack,BER,num_images
Gaussian Blur,Random,0.1,telea,21.65253850618998,0.5917284588019053,21.800865875879925,0.5866116428375244,0.42633333333333295,300
Gaussian Blur,O150,0.3,telea,28.583931776682537,0.8505272885163625,29.40357116063436,0.8472602514425913,0.24088888888888904,300
Gaussian Blur,O300,0.3,telea,28.5468031056722,0.8499256726106008,29.354564698537192,0.8462572505076726,0.24200000000000013,300
Gaussian Blur,Random,0.3,telea,23.86017605781555,0.7157606047391891,24.195047210057577,0.7298529815673828,0.2454444444444446,300
Haar Wavelet,O150,0.1,diffusion,25.806188259124756,0.7671819191177686,25.924301986694335,0.7268717441956202,0.3866666666666665,300
Haar Wavelet,O300,0.1,diffusion,24.489564622243247,0.7478842447201411,24.617704168955484,0.7095113907257716,0.38722222222222236,300
Haar Wavelet,Random,0.1,diffusion,22.038891220092772,0.6170407340923945,21.956230916976928,0.5958279885848363,0.42866666666666664,300
Haar Wavelet,O150,0.3,diffusion,29.383410746256512,0.8959380646546682,32.35038688659668,0.8955908268690109,0.18522222222222232,300
Haar Wavelet,O300,0.3,diffusion,28.78786116917928,0.8881026774644851,31.37749092102051,0.8868530768156052,0.1895555555555557,300
Haar Wavelet,Random,0.3,diffusion,24.482131096522014,0.7578239600857098,25.10556941986084,0.7792833687861761,0.2375555555555555,300
Haar Wavelet,O150,0.1,mean,14.28455531915029,0.43791135971744855,14.292093121210733,0.40548593615492184,0.4446666666666667,300
Haar Wavelet,O300,0.1,mean,14.233768107096354,0.4454224057495594,14.241666968663534,0.41180201187729837,0.44455555555555565,300
Haar Wavelet,Random,0.1,mean,14.585329895019532,0.27949622181554634,14.572373485565185,0.26269168610374133,0.44988888888888906,300
Haar Wavelet,O150,0.3,mean,15.568464733759562,0.48103463475902875,15.633991867701212,0.47353754594922065,0.32955555555555527,300
Haar Wavelet,O300,0.3,mean,15.551841449737548,0.48689892709255217,15.617687730789184,0.4785857360561689,0.3285555555555552,300
Haar Wavelet,Random,0.3,mean,15.625079584121703,0.3270170718928178,15.66484117825826,0.3321394566446543,0.37288888888888866,300
Haar Wavelet,O150,0.1,navier,23.267384815216065,0.6654319972793261,23.43900973637899,0.6468470041950544,0.38699999999999973,300
Haar Wavelet,O300,0.1,navier,23.348170251846312,0.6681796931227049,23.5597984345754,0.6489616949359576,0.38455555555555504,300
Haar Wavelet,Random,0.1,navier,21.111182441711424,0.5832581688463688,21.108802410761516,0.5723651088277499,0.4224444444444445,300
Haar Wavelet,O150,0.3,navier,28.017103837331135,0.8517130255699158,30.14410462697347,0.8580622226993243,0.19455555555555556,300
Haar Wavelet,O300,0.3,navier,28.00703644434611,0.852013591825962,30.125135491689047,0.8574344295263291,0.19544444444444442,300
Haar Wavelet,Random,0.3,navier,23.800208234786986,0.7348310523231825,24.308860845565796,0.7566611515482267,0.24111111111111125,300
Haar Wavelet,O150,0.1,telea,22.76288020769755,0.6658437137802442,22.788090782165526,0.6403993474443753,0.3963333333333329,300
Haar Wavelet,O300,0.1,telea,22.772212867736815,0.6673606305321058,22.82355588912964,0.6412227406104406,0.39644444444444443,300
Haar Wavelet,Random,0.1,telea,21.362344268163046,0.58908582786719,21.272211755116782,0.5673435398936272,0.4284444444444446,300
Haar Wavelet,O150,0.3,telea,27.139781424204507,0.8388876940806707,28.397950134277345,0.8336932614445687,0.2168888888888891,300
Haar Wavelet,O300,0.3,telea,27.093300139109292,0.8383184284965197,28.341211382548014,0.8323995673656464,0.21655555555555567,300
Haar Wavelet,Random,0.3,telea,23.440858449935913,0.7121511030197144,23.688877442677814,0.7198773228128751,0.27877777777777757,300
