model,attack,removal_ratio,actual_removal_ratio,PSNR_final,SSIM_final,PSNR_attack,SSIM_attack,BER,num_images
Baseline,navier,0.9,0.8998551432291667,15.03843477567037,0.4176386434336503,15.059669170379639,0.4164970580736796,0.4365555555555555,300
Baseline,shiftmap,0.1,0.09978108723958333,25.485790201822915,0.8770013139645259,26.39471996943156,0.9239960108200709,0.027444444444444417,300
Baseline,shiftmap,0.2,0.1997991943359375,21.951953341166178,0.8022500920295715,22.30899889310201,0.8434718666474025,0.029888888888888854,300
Baseline,shiftmap,0.30000000000000004,0.2998077392578125,19.492884543736775,0.7238247706492742,19.670927724838258,0.7591300437847773,0.03188888888888884,300
Baseline,shiftmap,0.4,0.39980712890625,17.81795007387797,0.6461289809147517,17.913291918436688,0.6758454887072245,0.036555555555555494,300
Baseline,shiftmap,0.5,0.4997955322265625,16.193049313227334,0.5578612767656644,16.25013743718465,0.5822441715995471,0.04433333333333324,300
Baseline,shiftmap,0.6,0.5997798665364583,14.91220074335734,0.472663813829422,14.950527588526407,0.4916108277440071,0.05044444444444434,300
Baseline,shiftmap,0.7000000000000001,0.6998195393880209,13.809058804512023,0.38371065497398377,13.834762856165568,0.3975093654791514,0.06933333333333333,300
Baseline,shiftmap,0.8,0.7998024495442708,12.609755126635234,0.27486955518523853,12.622210426330566,0.28356082235773405,0.11244444444444464,300
Baseline,shiftmap,0.9,0.8998551432291667,10.581669718424479,0.12464730656395356,10.564548830986023,0.12808741558343173,0.2886666666666666,300
Baseline,telea,0.1,0.09978108723958333,27.52063576380412,0.8968587366739909,28.85094793955485,0.9440508389472961,0.037444444444444384,300
Baseline,telea,0.2,0.1997991943359375,24.538787978490195,0.8448111581802368,25.149995813369753,0.8863517030080159,0.049888888888888795,300
Baseline,telea,0.30000000000000004,0.2998077392578125,22.79779680887858,0.7941775951782862,23.155839478174844,0.8297948465744655,0.06733333333333331,300
Baseline,telea,0.4,0.39980712890625,21.171918195088704,0.738255138794581,21.37999543507894,0.7684133704503378,0.10355555555555569,300
Baseline,telea,0.5,0.4997955322265625,19.95158900578817,0.6804748839139938,20.101792147954306,0.7048487448692322,0.15644444444444464,300
Baseline,telea,0.6,0.5997798665364583,18.5843806775411,0.6193806045254071,18.684492661158245,0.6381268088022868,0.22044444444444447,300
Baseline,telea,0.7000000000000001,0.6998195393880209,17.314855321248373,0.5552480127414068,17.38435660044352,0.5677870024243991,0.29999999999999943,300
Baseline,telea,0.8,0.7998024495442708,16.044495719273886,0.48635059346755344,16.09947814623515,0.49258687262733775,0.3702222222222217,300
Baseline,telea,0.9,0.8998551432291667,15.012033643722534,0.42054878423611325,15.05340503056844,0.4194692088663578,0.4508888888888892,300
Frozen UNet,diffusion,0.1,0.09978108723958333,27.192573146820067,0.8820407907168071,28.672709395090738,0.9419661831855773,0.023777777777777755,300
Frozen UNet,diffusion,0.2,0.1997991943359375,24.30327477137248,0.8277391916513444,24.97483465194702,0.8812272057930628,0.025555555555555533,300
Frozen UNet,diffusion,0.30000000000000004,0.2998077392578125,22.474622004826863,0.7733796817064286,22.863976926803588,0.8201516515016556,0.028333333333333304,300
Frozen UNet,diffusion,0.4,0.39980712890625,20.824354006449383,0.7149629739920298,21.06339521408081,0.755208267569542,0.030777777777777744,300
Frozen UNet,diffusion,0.5,0.4997955322265625,19.593852281570435,0.6553345910708109,19.738241367340088,0.6891832862297694,0.034777777777777734,300
Frozen UNet,diffusion,0.6,0.5997798665364583,18.328173122406007,0.5949035176634788,18.41903256734212,0.6222053163250287,0.04099999999999992,300
Frozen UNet,diffusion,0.7000000000000001,0.6998195393880209,17.170051034291586,0.5306423410773278,17.22225784619649,0.5507718920707703,0.050666666666666554,300
Frozen UNet,diffusion,0.8,0.7998024495442708,15.975502093633017,0.46452582160631817,15.99633238474528,0.4774771645665169,0.08466666666666674,300
Frozen UNet,diffusion,0.9,0.8998551432291667,15.108911145528158,0.4009592788914839,15.113011531829834,0.40523202940821645,0.19466666666666682,300
Frozen UNet,mean,0.1,0.09978108723958333,23.96875784556071,0.8539689914385478,24.623437836964925,0.9124547213315963,0.02377777777777776,300
Frozen UNet,mean,0.2,0.1997991943359375,21.222919851938883,0.7809052362044653,21.537189801534016,0.8320496928691864,0.024666666666666646,300
Frozen UNet,mean,0.30000000000000004,0.2998077392578125,19.481047172546386,0.7103586486975352,19.67024001757304,0.7540142240126928,0.026444444444444423,300
Frozen UNet,mean,0.4,0.39980712890625,18.184161698023477,0.6425809182723363,18.30408059120178,0.6791401918729146,0.031888888888888856,300
Frozen UNet,mean,0.5,0.4997955322265625,17.14267780939738,0.5769306297103564,17.216988573074342,0.6068502564231555,0.036666666666666604,300
Frozen UNet,mean,0.6,0.5997798665364583,16.27447003364563,0.5194944460193316,16.323297163645428,0.5429218714435895,0.04733333333333323,300
Frozen UNet,mean,0.7000000000000001,0.6998195393880209,15.553410873413085,0.46180573672056197,15.582237459818522,0.4783053215344747,0.06911111111111116,300
Frozen UNet,mean,0.8,0.7998024495442708,14.799649362564088,0.40720686813195545,14.810583299001058,0.4167698156336943,0.11855555555555573,300
Frozen UNet,mean,0.9,0.8998551432291667,14.189091380437215,0.35521730067829294,14.188951983451844,0.3569235092401504,0.2528888888888887,300
Frozen UNet,navier,0.1,0.09978108723958333,27.196712029774982,0.8835916560888291,28.80711410522461,0.9442461758852005,0.02888888888888887,300
Frozen UNet,navier,0.2,0.1997991943359375,24.30315819422404,0.8315528945128123,25.04764300664266,0.8861678276459376,0.028888888888888863,300
Frozen UNet,navier,0.30000000000000004,0.2998077392578125,22.632554146448772,0.7813876861333847,23.071788997650145,0.8296489908297857,0.0324444444444444,300
Frozen UNet,navier,0.4,0.39980712890625,21.022720743815103,0.726360001762708,21.286719783147177,0.7683801776170731,0.034666666666666617,300
