model,mask_type,density,attack,PSNR,SSIM,BER,num_images
Baseline,Optimized_d300_n200,0.3,navier,30.59091512044271,0.8793113362789154,0.31288888888888855,300
Haar Wavelet,Optimized_d300_n200,0.1,mean,14.233768107096354,0.4454224057495594,0.44455555555555565,300
Gaussian Blur,Optimized_d300_n200,0.1,navier,24.37595224380493,0.6843874442577362,0.40088888888888863,300
Baseline,Optimized_d300_n200,0.3,telea,28.605069885253908,0.855647690097491,0.3525555555555552,300
Haar Wavelet,Optimized_d150_n100,0.1,telea,22.76288020769755,0.6658437137802442,0.3963333333333329,300
Frozen UNet,Optimized_d150_n100,0.1,telea,23.414477275212604,0.678857356707255,0.457888888888889,300
Frozen UNet,Random,0.3,navier,24.503441721598307,0.7495255416631699,0.32455555555555526,300
Frozen UNet,Random,0.1,navier,21.532991174062094,0.596541481266419,0.46555555555555544,300
Baseline,Random,0.3,navier,24.54430902481079,0.7561704691251119,0.36366666666666625,300
Gaussian Blur,Random,0.3,navier,24.398089237213135,0.7427005218466123,0.16122222222222252,300
Baseline,Random,0.1,navier,21.52009278933207,0.5989836318294207,0.4863333333333333,300
Frozen UNet,Random,0.3,mean,15.671767800649008,0.3240812256683906,0.4574444444444444,300
Haar Wavelet,Random,0.3,navier,23.800208234786986,0.7348310523231825,0.24111111111111125,300
Gaussian Blur,Random,0.3,diffusion,25.07407430966695,0.7626674130558968,0.1395555555555558,300
Gaussian Blur,Random,0.1,diffusion,22.300091206232707,0.6170731923977534,0.36533333333333284,300
Gaussian Blur,Random,0.1,navier,21.48640155474345,0.5912503621975581,0.38977777777777745,300
Frozen UNet,Random,0.3,telea,23.91000684738159,0.7193091746171315,0.3609999999999996,300
Frozen UNet,Random,0.3,diffusion,25.203400433858235,0.7697102452317873,0.2932222222222223,300
Haar Wavelet,Random,0.3,diffusion,24.482131096522014,0.7578239600857098,0.2375555555555555,300
Haar Wavelet,Random,0.1,navier,21.111182441711424,0.5832581688463688,0.4224444444444445,300
Baseline,Random,0.3,mean,15.682996199925741,0.32805714157720406,0.48166666666666696,300
Gaussian Blur,Random,0.3,mean,15.67004316965739,0.32369816914200783,0.4266666666666666,300
Gaussian Blur,Random,0.1,mean,14.603221683502197,0.27713782315452895,0.4759999999999999,300
Frozen UNet,Random,0.1,mean,14.603754889170329,0.27733778739968934,0.4880000000000003,300
Baseline,Random,0.1,telea,21.631852442423504,0.5963216248651345,0.4848888888888891,300
Haar Wavelet,Random,0.1,telea,21.362344268163046,0.58908582786719,0.4284444444444446,300
Gaussian Blur,Random,0.3,telea,23.86017605781555,0.7157606047391891,0.2454444444444446,300
Baseline,Random,0.3,telea,23.915054658253986,0.7247755766908328,0.40022222222222237,300
Haar Wavelet,Random,0.3,mean,15.625079584121703,0.3270170718928178,0.37288888888888866,300
Gaussian Blur,Random,0.1,telea,21.65253850618998,0.5917284588019053,0.42633333333333295,300
Frozen UNet,Random,0.1,diffusion,22.35763984998067,0.6212417307992776,0.4651111111111109,300
Baseline,Random,0.1,diffusion,22.35264232635498,0.6234685211877028,0.47311111111111065,300
Haar Wavelet,Random,0.1,mean,14.585329895019532,0.27949622181554634,0.44988888888888906,300
Haar Wavelet,Random,0.1,diffusion,22.038891220092772,0.6170407340923945,0.42866666666666664,300
Frozen UNet,Random,0.1,telea,21.667568950653077,0.5947658420602481,0.4718888888888888,300
Baseline,Random,0.3,diffusion,25.256150557200115,0.7766470513741175,0.322555555555555,300
Haar Wavelet,Random,0.3,telea,23.440858449935913,0.7121511030197144,0.27877777777777757,300
Baseline,Random,0.1,mean,14.608897953033447,0.27900505863130093,0.500111111111111,300
